date, stock, share, price
2017-12-30, 中国平安, 7200, 69.98
2017-12-30, 兴业银行, 7900, 16.99
2017-12-30, 嘉实元和, 35000, 1.067
2017-12-30, 平安银行, 7700, 13.3
2017-12-30, 宁行转债, 10, 100
2017-12-30, 万信转债, 10, 100
2017-12-30, 太阳转债, 10, 100
2017-12-30, 航电转债, 20, 100
2017-12-30, 双环转债, 10, 100
2017-12-30, H股ETF, 30500, 1.235
2017-12-30, 上证指数, 0, 3307.17
2018-01-08, 中国平安, 800, 69.72
2018-01-09, 中国平安, -800, 71.81
2018-01-12, 宁行转债, -10, 110.04
2018-01-15, 航电转债, -20, 103.33
N/A, 中国平安, 0, 77.65
N/A, 万信转债, 0, 100
N/A, 平安银行, 0, 14.20
N/A, 太阳转债, 0, 100
N/A, 双环转债, 0, 100
N/A, 万信转债, 0, 100
N/A, 航电转债, 0, 100
N/A, H股ETF, 0, 1.305
N/A, 兴业银行, 0, 18.00
N/A, 嘉实元和, 0, 1.072
N/A, 上证指数, 0, 3410.49

